"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"11","1978-12-28","Stany Zjednoczone","United Airlines","173","Douglas DC-8","N8082U",10,179,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1979-01-30","Japonia","Varig","?","Boeing 707-300C","PP-VLU",6,0,""
"2","1979-02-12","Zimbabwe","Air Rhodesia","RH827","Vickers Viscount","VP-YND",59,0,""
"3","1979-03-17","ZSRR","Aeroflot","1691","Tu-104","CCCP-424444",58,61,"osobny artykul"
"4","1979-04-04","Stany Zjednoczone","TWA","841","Boeing 727-31","N840TW",0,89,""
"5","1979-05-25","Stany Zjednoczone","American Airlines","191","McDonnell Douglas DC-10","N110AA",273,0,"osobny artykul"
"6","1979-06-17","Stany Zjednoczone","Air New England","248","DHC-6 Twin Otter","N383EX",1,9,""
"7","1979-07-11","Indonezja","Garuda Indonesia","?","Fokker F28","PK-GVE",61,0,""
"8","1979-07-31","Wielka Brytania","Dan-Air","0034","Hawker Siddeley HS 748","G-BEKF",17,30,""
"9","1979-08-11","ZSRR","Aeroflot","?","Tu-134","<U+0421><U+0421><U+0421><U+0420>-65816",94,0,"osobny artykul"
"10","1979-08-11","ZSRR","Aeroflot","?","Tu-134","<U+0421><U+0421><U+0421><U+0420>-65735",84,0,"osobny artykul"
"11","1979-10-08","Stany Zjednoczone","Comair","444","Piper PA-31 Navajo","N6642L",8,0,""
"12","1979-10-31","Meksyk","Western Airlines","2605","McDonnell Douglas DC-10","N903WA",72,0,""
"13","1979-11-26","Arabia Saudyjska","PIA","740","Boeing 707-340C","AP-AWZ",156,0,"osobny artykul"
"14","1979-11-28","Antarktyka","Air New Zealand","901","McDonnell Douglas DC-10","ZK-NZP",257,0,"osobny artykul"
"15","1979-12-23","Turcja","Turkish Airlines","?","Fokker F28","TC-JAT",41,4,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1980-01-21","Iran","Iran Air","291","Boeing 727-86","EP-IRD",128,0,"osobny artykul"
"2","1980-03-14","Polska","Polskie Linie Lotnicze LOT","007","Iljuszyn Il-62","SP-LAA",87,0,"osobny artykul"
"3","1980-04-12","Brazylia","Transbrasil","303","Boeing 727-27C","PT-TYS",55,3,""
"4","1980-04-25","Hiszpania","Dan-Air","1008","Boeing 727-46","G-BDAN",146,0,""
"5","1980-04-27","Tajlandia","Thai Airways International","231","Hawker Siddeley HS 748","HS-THB",44,9,""
"6","1980-05-05","Stany Zjednoczone","Eastern Air Lines","885","Lockheed L-1011","N334EA",0,172,""
"7","1980-06-27","Wlochy","Aerolinee Itavia","870","McDonnell Douglas DC-9","I-TIGI",81,0,"osobny artykul"
"8","1980-08-19","Arabia Saudyjska","Saudi Arabian Airlines","163","Lockheed L-1011","HZ-AHK",301,0,"osobny artykul"
"9","1980-09-12","Bahamy","Florida Commuter Airlines","?","McDonnell Douglas DC-3","N75KW",34,0,""
"10","1980-11-21","Mikronezja","Continental Micronesia","614","Boeing 727-900","N18479",0,73,""
"11","1980-12-22","Katar","Saudi Arabian Airlines","162","Lockheed L-1011","HZ-AHJ",2,199,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1981-03-26","Polska","Polskie Linie Lotnicze LOT","691","Antonow An-24W","SP-LTU",1,19,"osobny artykul"
"2","1981-03-28","Indonezja","Garuda Indonesia","206","McDonnell Douglas DC-9","PK-GNJ",0,57,""
"3","2 maja","Wielka Brytania","Aer Lingus","164","Boeing 737-200","?",0,113,""
"4","7 maja","Argentyna","Austral Líneas Aéreas","901","BAC 1-11","LV-LOX",31,0,"osobny artykul"
"5","14 czerwca","ZSRR","Aeroflot","498","Iljuszyn Il-14M","CCCP-41838",48,0,""
"6","26 czerwca","Wielka Brytania","Dan-Air","240","Hawker Siddeley HS 748","G-ASPL",3,0,""
"7","18 lipca","Armenia","Transporte Aéreo Rioplatense","?","Canadair CL-44","LV-JTN",4,1,""
"8","20 lipca","Somalia","Somali Airlines","40","Fokker F27","6O-SAY",50,0,"osobny artykul"
"9","27 lipca","Meksyk","Aeroméxico","230","McDonnell Douglas DC-9","XA-DEN",32,34,"osobny artykul"
"10","1981-08-19","Indie","Indian Airlines","557","Hawker Siddeley HS 748","VT-DXF",0,26,""
"11","1981-08-22","Tajwan","Far Eastern Air Transport","103","Boeing 737-200","B-2603",110,0,"osobny artykul"
"12","24 sierpni","ZSRR","Aeroflot","811","Antonow An-24","CCCP-46653",37,1,""
"13","26 sierpni","Kolumbia","Aeropesca Columbia","221","Vickers Viscount 745D","HK-1320",50,0,""
"14","1981-10-06","Holandia","NLM Cityhopper","431","Fokker F28","11141",17,0,"osobny artykul"
"15","17 listopa","ZSRR","Aeroflot","3603","Tupolew Tu-154","CCCP-85480",99,68,""
"16","1981-12-01","Francja","Adria Airways","1308","McDonnell Douglas MD-81","YU-ANA",180,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1982-01-11","Stany Zjednoczone","World Airways","30","McDonnell Douglas DC-10","N113WA",2,210,""
"2","1982-01-13","Stany Zjednoczone","Air Florida","90","Boeing 737-200","N62AF",78,10,"osobny artykul"
"3","1982-02-09","Japonia","Japan Airlines","350","McDonnell Douglas DC-8","JA8061",24,150,""
"4","1982-03-11","Norwegia","Widerøe","933","DHC-6 Twin Otter","LN-BNK",15,0,""
"5","1982-03-20","Indonezja","Garuda Indonesia","?","Fokker F28","PK-GVK",27,0,""
"6","1982-04-21","Chiny","CAAC","3303","Hawker Siddeley Trident","B-266",112,0,""
"7","1982-06-08","Brazylia","VASP","168","Boeing 727-200","PP-SRK",137,0,"osobny artykul"
"8","1982-06-21","Indie","Air India","403","Boeing 707-420","VT-DJJ",17,94,""
"9","1982-06-24","Indonezja","British Airways","009","Boeing 747-200","G-BDXH",0,263,"osobny artykul"
"10","1982-07-06","ZSRR","Aeroflot","411","Il-62","SSSR-86513",90,0,""
"11","1982-07-09","Stany Zjednoczone","Pan Am","759","Boeing 727-200","N4737",153,1,"osobny artykul"
"12","1982-09-13","Hiszpania","Spantax","995","McDonnell Douglas DC-10","EC-DEG",50,344,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1983-01-16","Turcja","Turkish Airlines","158","Boeing 727-200","TC-JBR",47,20,""
"2","1983-03-11","Wenezuela","Avensa","?","McDonnell Douglas DC-9","YV-67C",27,23,""
"3","1983-06-02","Stany Zjednoczone","Air Canada","797","McDonnell Douglas DC-9","C-FTLU",23,23,"osobny artykul"
"4","1983-07-23","Kanada","Air Canada","143","Boeing 767-200","C-GAUN",0,69,"osobny artykul"
"5","30 sierpni","ZSRR","Aeroflot","5463","Tu-134","CCCP-65129",90,0,""
"6","1983-09-01","ZSRR","Korean Air","007","Boeing 747-200","HL7442",269,0,"osobny artykul"
"7","1983-09-23","Zjednoczone Emiraty Arabskie","Gulf Air","771","Boeing 737-200","A4O-BK",112,0,""
"8","8 listopad","Angola","TAAG Angola Airlines","462","Boeing 737-200","D2-TBN",130,0,""
"9","18 listopa","ZSRR","Aeroflot","6833","Tu-134","CCCP-65807",8,56,""
"10","1983-11-27","Hiszpania","Avianca","011","Boeing 747-200","HK-2910",181,11,"osobny artykul"
"11","1983-12-20","Stany Zjednoczone","Ozark Airlines","650","McDonnell Douglas DC-9","N994Z",1,86,""
"12","24 grudnia","ZSRR","Aeroflot","601","An-24","<U+0421><U+0421><U+0421><U+0420>-46617",44,5,""
"13","7 grudnia","Hiszpania","Iberia","350","Boeing 727-200","EC-CFJ",93,42,""
"14","7 grudnia","Hiszpania","Aviaco","134","McDonnell Douglas DC-9","EC-CGS",93,42,""
"15","18 grudnia","Malezja","Malaysia Airlines","684","Airbus A300","OY-KAA",0,247,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1984-01-10","Bulgaria","Balkan Bulgarian Airlines","?","Tu-134","LZ-TUR",50,0,""
"2","1984-03-22","Kanada","Pacific Western Airlines","501","Boeing 737-200","C-GQPW",0,119,""
"3","28 czerwca","Brazylia","TAM Airlines","–","Embraer EMB 110 Bandeirante","PP-SBC",18,0,""
"4","2 sierpnia","Stany Zjednoczone","Vieques Air Link","901A","Britten-Norman Islander","N589SA",9,0,""
"5","5 sierpnia","Bangladesz","Biman Bangladesh Airlines","–","Fokker F27","S2-ABJ",49,0,""
"6","1984-08-30","Kamerun","Cameroon Airlines","786","Boeing 737-200","TJ-CBD",2,114,""
"7","1984-09-16","Polska","Aeroklub Opolski","501","Antonow An-2","SP-AMK",12,14,"osobny artykul"
"8","18 wrzesni","Ekwador","Aeroservicios Ecuatorianos","767-103","McDonnell Douglas DC-8","HC-BKN",53,0,""
"9","1984-10-11","ZSRR","Aeroflot","3352","Tu-154","SSSR-85243",178,5,"osobny artykul"
"10","1984-12-06","Stany Zjednoczone","PBA","1039","Embraer 110 Bandeirante","N96PB",13,0,""
"11","23 grudnia","ZSRR","Aeroflot","3519","Tu-154","CCCP-85338",110,1,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1985-01-01","Boliwia","Eastern Air Lines","980","Boeing 727-200","N819EA",29,0,""
"2","1985-01-21","Stany Zjednoczone","Galaxy Airlines","203","Lockheed L-188 Electra","N5532",70,1,""
"3","1985-02-19","Stany Zjednoczone","China Airlines","006","Boeing 747SP","N4522V",0,274,"osobny artykul"
"4","1985-02-19","Hiszpania","Iberia","610","Boeing 727-200","EC-DDU",148,0,""
"5","1985-05-03","ZSRR","Aeroflot","?","Tu-134A","SSSR-65856",94,0,"osobny artykul"
"6","1985-06-14","Grecja","TWA","847","Boeing 727-200","N64339",1,152,""
"7","1985-06-21","Norwegia","Braathens SAFE","139","Boeing 737-200","LN-SUG",0,121,""
"8","1985-06-23","Irlandia","Air India","182","Boeing 747-200","VT-EFO",329,0,"osobny artykul"
"9","1985-07-10","ZSRR","Aeroflot","7425","Tu-154B","UK-87985",200,0,"osobny artykul"
"10","1985-08-02","Stany Zjednoczone","Delta Air Lines","191","Lockheed L-1011","N726DA",137,27,"osobny artykul"
"11","1985-08-12","Japonia","Japan Airlines","123","Boeing 747-SR46","JA8119",520,4,"osobny artykul"
"12","1985-08-22","Wielka Brytania","British Airtours","28M","Boeing 737-200","G-BGJL",55,82,"osobny artykul"
"13","1985-08-25","Stany Zjednoczone","Bar Harbor Airlines","1808","Beech BE-99","N300WP",8,0,""
"14","1985-09-06","Stany Zjednoczone","Midwest Express Airlines","105","McDonnell Douglas DC-9","N100ME",31,0,""
"15","1985-11-23","Malta","EgyptAir","648","Boeing 737-200","SU-AYH",60,38,""
"16","1985-12-12","Kanada","Arrow Air","1285","McDonnell Douglas DC-8","N950JW",256,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","18 styczni","Gwatemala","Aerovías","–","Sud Aviation Caravelle","HC-BAE",93,0,""
"2","1986-03-31","Meksyk","Mexicana","940","Boeing 727-200","XA-MEM",167,0,"osobny artykul"
"3","1986-04-02","Grecja","TWA","840","Boeing 727-200","N54340",4,118,""
"4","1986-05-03","Sri Lanka","Air Lanka","512","Lockheed L-1011","4R-ULD",21,129,""
"5","3 maja","Chiny","China Airlines","334","Boeing 747-200","B-198",0,3,""
"6","1986-06-18","Stany Zjednoczone","Grand Canyon Airlines","6","DHC-6 Twin Otter","N76GC",20,0,""
"7","2 lipca","ZSRR","Aeroflot","2306","Tu-134","CCCP-65120",54,38,""
"8","3 sierpnia","Saint Vincent i Grenadyny","Leewards Islands Air Transport","319","DHC-6 Twin Otter","V2-LCJ",13,0,""
"9","16 sierpni","Sudan Poludniowy","Sudan Airways","–","Fokker F27","ST-ADY",60,0,""
"10","1986-08-31","Stany Zjednoczone","Aeroméxico","498","McDonnell Douglas DC-9","XA-JED",82,0,"osobny artykul"
"11","1986-09-05","Pakistan","Pan Am","73","Boeing 747-100","N656PA",20,359,""
"12","20 pazdzie","ZSRR","Aeroflot","6502","Tu-134","CCCP-65766",70,24,""
"13","1986-10-25","Stany Zjednoczone","Piedmont Airlines","467","Boeing 737-200","N752N",0,119,""
"14","26 pazdzie","Japonia","Thai Airways International","620","Airbus A300","HS-TAE",0,239,""
"15","12 grudnia","ZSRR","Aeroflot","892","Tu-134","<U+0421><U+0421><U+0421><U+0420>-65795",72,10,""
"16","1986-12-25","Arabia Saudyjska","Iraqi Airways","163","Boeing 737-200","YI-AGJ",63,43,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1987-01-03","Wybrzeze Kosci Sloniowej","Varig",797,"Boeing 707-300","PP-VJK","50","1",""
"2","15 styczni","Stany Zjednoczone","Skywest Airlines",1834,"Fairchild Swearingen Metroliner","N163SW","10","0",""
"3","16 styczni","ZSRR","Aeroflot",505,"Jak-40","CCCP-87618","9","0",""
"4","4 marca","Stany Zjednoczone","Northwest Airlink",2268,"CASA C-212","N160FB","20","10",""
"5","1987-03-10","Wielka Brytania","Pan Am",125,"Boeing 747-100","N740PA","0","245",""
"6","1987-04-04","Indonezja","Garuda Indonesia",35,"Douglas DC-9","PK-GNQ","23","22",""
"7","8 maja","Portoryko","American Eagle",5452,"CASA C-212","N432CA","2","4",""
"8","1987-05-09","Polska","Polskie Linie Lotnicze LOT",5055,"Il-62M","SP-LBG","183","0","osobny artykul"
"9","16 maja","Fidzi","Air New Zealand",24,"Boeing 747-200","?","0","129",""
"10","19 czerwca","ZSRR","Aeroflot",528,"Jak-40","CCCP-87826","8","21",""
"11","1987-06-27","Filipiny","Philippine Airlines",206,"Hawker Siddeley HS 748","RP-C1015","50","0",""
"12","1987-08-16","Stany Zjednoczone","Northwest Airlines",255,"McDonnell Douglas MD-82","N312RC","156","1","osobny artykul"
"13","1987-08-22","Stany Zjednoczone","Trans World Airlines",756,"Boeing 767","?","?","?",""
"14","1987-08-31","Tajlandia","Thai Airways International",365,"Boeing 737-200","HS-TBC","83","0","osobny artykul"
"15","15 pazdzie","Wlochy","Aero Transporti Italiani",460,"ATR 42","I-ATRH","37","0",""
"16","1987-11-15","Stany Zjednoczone","Continental Airlines",1713,"McDonnell Douglas DC-9","N626TX","28","54","osobny artykul"
"17","1987-11-28","Mauritius","South African Airways",295,"Boeing 747-200","ZS-SAS","159","0","osobny artykul"
"18","1987-11-29","Birma","Korean Air",858,"Boeing 707-300","HL7406","115","0","osobny artykul"
"19","1987-12-07","Stany Zjednoczone","Pacific Southwest Airlines",1771,"Avro RJ100","N350PS","43","0","osobny artykul"
"20","13 grudnia","Filipiny","Philippine Airlines",443,"Short 360","EI-BTJ","15","0",""
"21","23 grudnia","Norwegia","Finnair",915,"McDonnell Douglas DC-10","N345HC","0","219",""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1988-01-02","Turcja","Condor",3782,"Boeing 737-230","D-ABHD",16,0,"osobny artykul"
"2","1988-02-08","Niemcy","Nürnberger Flugdienst",108,"Swearingen SA.227BC Metroliner III","D-CABB",21,0,"osobny artykul"
"3","1988-03-04","Francja","TAT European Airlines",230,"Fairchild FH-227","F-GCPS",23,0,"osobny artykul"
"4","1988-03-17","Kolumbia","Avianca",410,"Boeing 727-200","HK-1716",142,0,"osobny artykul"
"5","1988-04-28","Stany Zjednoczone","Aloha Airlines",243,"Boeing 737-200","N73711",1,94,"osobny artykul"
"6","1988-05-06","Norwegia","Widerøe",710,"Dash 7","LN-WFN",36,0,""
"7","1988-05-24","Stany Zjednoczone","TACA Airlines",110,"Boeing 737-300","N75356",0,45,"osobny artykul"
"8","1988-06-26","Francja","Air France",296,"Airbus A320-100","F-GFKC",3,127,"osobny artykul"
"9","1988-07-03","Iran","Iran Air",655,"Airbus A300B2-203","EP-IBU",290,0,"osobny artykul"
"10","1988-08-31","Stany Zjednoczone","Delta Air Lines",1141,"Boeing 727-200","N473DA",14,94,"osobny artykul"
"11","1988-09-15","Etiopia","Ethiopian Airlines",604,"Boeing 737-200","ET-AJA",35,69,""
"12","1988-10-17","Wlochy","Uganda Airlines",775,"Boeing 707-338C","5X-UBC",33,19,""
"13","1988-10-19","Indie","Indian Airlines",113,"Boeing 737-200","?",130,5,""
"14","1988-11-02","Polska","Polskie Linie Lotnicze LOT",703,"Antonow An-24","SP-LTD",1,28,"osobny artykul"
"15","1988-12-21","Wielka Brytania","Pan Am",103,"Boeing 747-100","N739PA",270,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1989-01-08","Wielka Brytania","BMI British Midland","92","Boeing 737-400","G-OBME",47,79,"osobny artykul"
"2","1989-02-08","Azory","Independent Air","1851","Boeing 707-300","N7231T",144,0,"osobny artykul"
"3","19 lutego","Malezja","Flying Tiger Line","66","Boeing 747-200","N807FT",4,0,""
"4","1989-02-24","Stany Zjednoczone","United Airlines","811","Boeing 747-100","N4713U",9,346,"osobny artykul"
"5","1989-03-10","Kanada","Air Ontario","1363","Fokker F28","C-FONF",24,45,"osobny artykul"
"6","1989-06-07","Surinam","Surinam Airways","764","McDonnell Douglas DC-8","N1809E",176,11,"osobny artykul"
"7","1989-06-17","NRD","Interflug","?","Il-62","DDR-SEW",22,113,""
"8","1989-07-19","Stany Zjednoczone","United Airlines","232","McDonnell Douglas DC-10","N1819U",111,184,"osobny artykul"
"9","1989-07-27","Libia","Korean Air","803","McDonnell Douglas DC-10","HL7328",79,124,""
"10","3 sierpnia","Grecja","Olympic Airways","545","Short 330","SX-BGE",34,0,""
"11","25 sierpni","Pakistan","PIA","404","Fokker F27","AP-BBF",54,0,"osobny artykul"
"12","1989-09-03","Brazylia","Varig","254","Boeing 737-200","PP-VMK",13,41,""
"13","1989-09-08","Dania","Partnair","394","Convair 580","LN-PAA",55,0,"osobny artykul"
"14","1989-09-19","Niger","UTA","772","McDonnell Douglas DC-10","N54629",170,0,""
"15","1989-09-20","Stany Zjednoczone","US Airways","5050","Boeing 737-400","N416US",2,61,""
"16","1989-10-21","Honduras","Tan – SAHSA","414","Boeing 727-200","N88705",127,19,"osobny artykul"
"17","1989-10-26","Tajwan","China Airlines","204","Boeing 737-200","B-180",54,0,""
"18","1989-11-27","Kolumbia","Avianca","203","Boeing 727-200","HK 1803",110,0,""
"19","1989-12-15","Stany Zjednoczone","KLM","867","Boeing 747-400M","PH-BFC",0,245,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1990-01-04","Stany Zjednoczone","Northwest Airlines",5,"Boeing 727-200","N280US",0,145,""
"2","15 styczni","Kostaryka","SANSA",32,"CASA C-212","TI-SAB",23,0,"osobny artykul"
"3","1990-01-25","Stany Zjednoczone","Avianca",52,"Boeing 707-300","HK-2016",73,85,"osobny artykul"
"4","1990-02-14","Indie","Indian Airlines",605,"Airbus A320-200","VT-EPN",92,54,""
"5","9 kwietnia","Stany Zjednoczone","Atlantic Southeast Airlines",2254,"Embraer 120 Brasilia","N217AS",2,7,""
"6","12 kwietni","Norwegia","Widerøe",839,"DHC-6 Twin Otter","LN-BNS",5,0,""
"7","1990-05-11","Filipiny","Philippine Airlines",143,"Boeing 737-300","EI-BZG",8,112,""
"8","1990-06-10","Wielka Brytania","British Airways",5390,"BAC One-Eleven","G-BJRT",0,87,"osobny artykul"
"9","2 sierpnia","Kuwejt","British Airways",149,"Boeing 747-100","G-AWND",0,385,""
"10","1990-10-02","Chiny","Xiamen Airlines",8301,"Boeing 737-200","B-2510",82,20,""
"11","1990-10-02","Chiny","China Southwest Airlines",2402,"Boeing 707-300","B-2402",0,1,""
"12","1990-10-02","Chiny","China Southern Airlines",2812,"Boeing 757-200","B-2812",46,76,""
"13","1990-11-14","Szwajcaria","Alitalia",404,"McDonnell Douglas DC-9","I-ATJA",46,0,"osobny artykul"
"14","1990-12-03","Stany Zjednoczone","Northwest Airlines",1482,"McDonnell Douglas DC-9","N3313L",8,190,""
"15","1990-12-03","Stany Zjednoczone","Northwest Airlines",299,"Boeing 727-200","N278US",8,190,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1991-02-01","Stany Zjednoczone","US Airways",1493,"Boeing 737-300","N388US",22,67,"osobny artykul"
"2","1991-02-01","Stany Zjednoczone","SkyWest",5569,"Fairchild Swearingen Metro III","N683AV",12,0,"osobny artykul"
"3","1991-03-03","Stany Zjednoczone","United Airlines",585,"Boeing 737-200","N999UA",25,0,"osobny artykul"
"4","5 marca","Wenezuela","Aeropostal",108,"McDonnell Douglas DC-9","YV-23C",45,0,""
"5","1991-03-26","Singapur","Singapore Airlines",117,"Airbus A310-300","9V-STP",4,123,""
"6","1991-04-05","Stany Zjednoczone","Atlantic Southeast Airlines",2311,"Embraer 120RT Brasilia","N270AS",23,0,""
"7","1991-05-26","Tajlandia","Lauda Air",4,"Boeing 767-300","OE-LAV",223,0,"osobny artykul"
"8","1991-07-10","Stany Zjednoczone","L'Express Airlines",508,"Beechcraft Model 99","N7217L",13,2,"osobny artykul"
"9","1991-07-11","Arabia Saudyjska","Nigeria Airways",2120,"McDonnell Douglas DC-8","C-GMXQ",261,0,"osobny artykul"
"10","1991-08-16","Indie","Indian Airlines",257,"Boeing 737-200","VT-EFL",69,0,"osobny artykul"
"11","1991-09-11","Stany Zjednoczone","Continental Express",2574,"Embraer 120RT Brasilia","N33701",14,0,""
"12","1991-12-27","Szwecja","Scandinavian Airlines",751,"McDonnell-Douglas MD-81","OY-KHO",0,129,"osobny artykul"
"13","1991-12-29","Tajwan","China Airlines",358,"Boeing 747-200F","B-198",5,0,""
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1992-01-03","Stany Zjednoczone","CommutAir","4821","Beechcraft 1900","?",2,2,""
"2","1992-01-20","Francja","Air Inter","148","Airbus A320-100","F-GGED",87,9,"osobny artykul"
"3","14 lutego","Peru","Aerolíneas Argentinas","386","Boeing 747-200","LV-MLR",1,355,""
"4","1992-03-22","Stany Zjednoczone","USAir","405","Fokker F-28","N485US",27,24,""
"5","1992-06-06","Panama","Copa Airlines","201","Boeing 737-200","HP-1205",47,0,""
"6","7 czerwca","Portoryko","American Eagle","5456","CASA C-212","N355CA",5,0,""
"7","8 czerwca","Stany Zjednoczone","GP Express","861","Beechcraft 99","N118GP",3,3,""
"8","1992-07-24","Indonezja","Mandala Airlines","660","Vickers Viscount 816","PK-RVU",70,0,""
"9","1992-07-30","Stany Zjednoczone","TWA","843","Lockheed L-1011","N11002",0,292,""
"10","1992-07-31","Nepal","Thai Airways International","311","Airbus A310-300","HS-TID",113,0,""
"11","1992-07-31","Chiny","China General Aviation","7552","Jak-42D","B-2755",108,18,""
"12","1992-09-28","Nepal","PIA","268","Airbus A300B4-203","AP-BCP",167,0,"osobny artykul"
"13","1992-10-04","Holandia","El Al","1862","Boeing 747-200F","4X-AXG",46,0,"osobny artykul"
"14","1992-11-15","Dominikana","Aero Caribbean","?","Il-18","CU-T1270",34,0,""
"15","1992-11-24","Chiny","China Southern Airlines","3943","Boeing 737-300","B-2523",141,0,""
"16","1992-12-21","Portugalia","Martinair","495","McDonnell Douglas DC-10","PH-MBN",54,106,""
"17","1992-12-22","Libia","Libyan Arab Airlines","1103","Boeing 727-200","5A-DIA",157,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","1993-01-06","Francja","Lufthansa Cityline","5634","DHC-8","D-BEAT",4,19,""
"2","1993-03-05","Macedonia","Palair Macedonian Airlines","301","Fokker 100","PH-KXL",83,14,""
"3","1993-04-06","Gwatemala","TACA Airlines","510","Boeing 767-200ER","N767TA",0,236,""
"4","1993-04-06","Stany Zjednoczone","China Eastern Airlines","583","McDonnell-Douglas MD-11","B-2171",2,253,""
"5","1993-04-18","Japonia","Japan Air System","451","McDonnell Douglas DC-9","JA8448",0,77,""
"6","1993-04-26","Indie","Indian Airlines","491","Boeing 737-200","?",55,63,""
"7","1993-04-27","Gabon","Zambian Air Force","?","Buffalo DHC-5D","AF-319",30,0,"osobny artykul"
"8","1993-05-19","Kolumbia","SAM Colombia","505","Boeing 727","HK-2422X",132,0,""
"9","1993-07-23","Chiny","China Northwest Airlines","2119","Avro RJ100","B-2716",55,58,"osobny artykul"
"10","1993-07-26","Korea Poludniowa","Asiana Airlines","733","Boeing 737-500","HL7229",68,38,""
"11","1993-09-14","Polska","Lufthansa","2904","Airbus A320-200","D-AIPN",2,68,"osobny artykul"
"12","1993-09-21","Gruzja","Transair Georgian Airlines","?","Tu-134A","85163",27,0,""
"13","1993-09-22","Gruzja","Transair Georgian Airlines","?","Tu-154B","65001",106,28,""
"14","1993-10-26","Chiny","China Eastern Airlines","5398","McDonnell Douglas MD-82","B-2103",2,78,""
"15","1993-10-27","Norwegia","Widerøe","744","DHC-6 Twin Otter","LN-BNM",6,11,""
"16","1993-11-04","Hongkong","China Airlines","605","Boeing 747-400","B-165",0,396,""
"17","1993-11-13","Chiny","China Northern Airlines","6901","McDonnell Douglas MD-82","B-2141",12,90,""
"18","1 grudnia","Stany Zjednoczone","Northwest Airlink","5719","BAe Jetstream 31","N334PX",18,0,"osobny artykul"
"Data","Miejsce.zdarzenia","Linie.lotnicze","Numer.lotu","Samolot","Nr.rej.","Ofiary","Ocaleni","Zobacz.wiecej"
"1","3 stycznia","Rosja","Baikal Airlines","130","Tu-154M","RA-85656",125,0,""
"2","24 lutego","Rosja","Pulkovo Aviation Enterprise","9045","An-12","RA-11118",13,0,""
"3","1994-03-23","Rosja","Aeroflot","593","Airbus A310-300","F-OGQS",75,0,"osobny artykul"
"4","1994-04-04","Holandia","KLM Cityhopper","433","Saab 340","?",3,21,""
"5","1994-04-07","Stany Zjednoczone","FedEx Express","705","McDonnell Douglas DC-10","N306FE",0,3,"osobny artykul"
"6","1994-04-26","Japonia","China Airlines","140","Airbus A300B4-600R","B-1816",264,7,"osobny artykul"
"7","1994-06-06","Chiny","China Northwest Airlines","2303","Tu-154M","B-2610",160,0,"osobny artykul"
"8","30 czerwca","Francja","Airbus Industrie","129","Airbus A330-300","F-WWKH",7,0,""
"9","1 lipca","Mauretania","Air Mauritanie","625","Fokker F28","5T-CLF",80,13,""
"10","1994-07-02","Stany Zjednoczone","US Airways","1016","McDonnell Douglas DC-9","N954VJ",37,15,""
"11","1994-07-19","Panama","Alas Chiricanas","901","Embraer EMB-110","HP-1202AC",21,0,""
"12","1994-08-21","Maroko","Royal Air Maroc","630","ATR 42","CN-CDT",44,0,"osobny artykul"
